"","term_id","term_name","source","adjust_pvalue","genes_associated_in_db","gene_overlap","overlap_ratio","pvalue","common_genes","module"
"1541","C1260899","Anemia, Diamond-Blackfan","GENOMICS_ENGLAND",0.0195415422801439,29,3,"(3/29)",0.00130276948534293,"RPL5, RPL31, RPL35A","navajowhite1"
"1173","C0001956","Alcohol Use Disorder","PSYGENET",0.0262677453456026,11,2,"(2/11)",0.0018762675246859,"SAT1, BAG3","orangered3"
"1927","C1260899","Anemia, Diamond-Blackfan","ORPHANET",0.0418504836980014,12,2,"(2/12)",0.00348754030816678,"RPL27, RPS28","sienna4"
"2103","C2931850","Aase Smith syndrome 2","ORPHANET",0.0418504836980014,12,2,"(2/12)",0.00348754030816678,"RPL27, RPS28","sienna4"
"1","HP:0001878","Hemolytic anemia","HPO",1.09252519998006e-12,64,14,"(14/64)",1.48440923910334e-15,"ALAD, ANK1, EPB42, FECH, GATA1, HBA1, HBA2, HBB, RHAG, SLC4A1, SPTA1, SPTB, UROD, UROS","black"
"1100","MP:0002447","abnormal erythrocyte morphology","MGD",3.63335972246817e-11,110,16,"(16/110)",3.70750992088588e-14,"ADD2, AHSP, ANK1, CPOX, EPB42, FECH, GATA1, GYPA, HBA1, HBA2, KLF1, PRDX2, SLC4A1, SPTA1, SPTB, STEAP3","black"
"1106","C0037889","Hereditary spherocytosis","ORPHANET",1.20779314445501e-09,5,5,"(5/5)",8.62709388896436e-11,"ANK1, EPB42, SLC4A1, SPTA1, SPTB","black"
"2105","C0221409","Anemia, hereditary spherocytic hemolytic","ORPHANET",1.20779314445501e-09,5,5,"(5/5)",8.62709388896436e-11,"ANK1, EPB42, SLC4A1, SPTA1, SPTB","black"
"2100","MP:0002643","poikilocytosis","MGD",1.94560962825516e-09,35,10,"(10/35)",1.98531594719914e-12,"ADD2, ANK1, GATA1, HBA1, HBA2, KLF1, SLC4A1, SPTA1, SPTB, UROS","black"
"3100","MP:0005097","polychromatophilia","MGD",3.62484296015817e-09,37,10,"(10/37)",3.69881934710018e-12,"AHSP, ANK1, FECH, GATA1, HBA1, HBA2, KLF1, SLC4A1, SPTA1, STEAP3","black"
"4100","MP:0002640","reticulocytosis","MGD",3.92830473783384e-09,103,14,"(14/103)",4.00847422227943e-12,"ADD2, AHSP, ANK1, EPB42, FECH, HBA1, HBA2, KLF1, PRDX2, SLC4A1, SPTA1, SPTB, STEAP3, UROS","black"
"5100","MP:0002591","decreased mean corpuscular volume","MGD",8.33253802313881e-09,131,15,"(15/131)",8.5025898195294e-12,"ADD2, AHSP, ANK1, CPOX, EPB42, FECH, HBA1, HBA2, HEMGN, KLF1, RHD, SEPTIN8, SLC4A1, SPTA1, STEAP3","black"
"2","HP:0001923","Reticulocytosis","HPO",6.57904059915839e-08,38,9,"(9/38)",8.93891385755217e-11,"ANK1, EPB42, KLF1, GATA1, HBB, RHAG, SLC4A1, SPTA1, SPTB","black"
"6100","MP:0002642","anisocytosis","MGD",9.49308903607875e-08,50,10,"(10/50)",9.68682554701913e-11,"AHSP, ANK1, FECH, GATA1, HBA1, HBA2, KLF1, SPTA1, SPTB, UROS","black"
"7100","MP:0002812","spherocytosis","MGD",1.35679689810631e-07,16,7,"(7/16)",1.38448663072072e-10,"ADD2, ANK1, EPB42, PRDX2, SLC4A1, SPTA1, SPTB","black"
"3","HP:0001978","Extramedullary hematopoiesis","HPO",1.6831993544147e-07,18,7,"(7/18)",2.28695564458519e-10,"ANK1, CA2, EPB42, HBB, SLC4A1, SPTA1, SPTB","black"
"4","HP:0005502","Increased red cell osmotic fragility","HPO",2.7023331540707e-07,11,6,"(6/11)",3.67164830716127e-10,"ANK1, EPB42, RHAG, SLC4A1, SPTA1, SPTB","black"
"5","HP:0001081","Cholelithiasis","HPO",2.82190500957894e-07,61,10,"(10/61)",3.83411006736269e-10,"ALAS2, ANK1, COMT, EPB42, FECH, HBB, SLC4A1, SPTA1, SPTB, UROS","black"
"6","HP:0000980","Pallor","HPO",5.38129842085627e-07,134,13,"(13/134)",7.31154676746775e-10,"ALAS2, ANK1, EPB42, KLF1, GATA1, HBA1, HBA2, HBB, STEAP3, SLC4A1, SPTA1, SPTB, UCP2","black"
"8100","MP:0001585","hemolytic anemia","MGD",6.2753955153875e-07,30,8,"(8/30)",6.4034648116199e-10,"ANK1, HBA1, HBA2, PRDX2, SLC4A1, SPTA1, SPTB, UROS","black"
"981","MP:0003656","abnormal erythrocyte physiology","MGD",1.44888285390383e-06,33,8,"(8/33)",1.4784518917386e-09,"ADD2, ANK1, RHAG, RHD, SPTA1, SPTB, STEAP3, UROS","black"
