,metadata_name,num_samplings,num_projects,num_genes,num_percentiles,num_percentiles_expressed,metadata_type
0,AnophelesGambiae,5,2,8071,31100,30049,organism
1,DanioRerio,23,7,24231,430436,384373,organism
2,MusMusculus,242,59,35478,5620903,4908507,organism
3,PlasmodiumFalciparum,2,1,5189,10378,10239,organism
4,GallusGallus,45,4,16005,642561,561731,organism
5,CaenorhabditisElegans,2,1,12139,24278,22745,organism
6,PlasmodiumBerghei,2,2,4893,9770,9770,organism
7,SchistosomaMansoni,2,1,6809,13618,13618,organism
8,CallithrixJacchus,6,1,20532,123192,112960,organism
9,DrosophilaMelanogaster,28,7,13572,315306,252825,organism
10,HomoSapiens,543,77,35008,12704304,10753573,organism
11,SaccharomycesCerevisiae,2,1,6409,12818,12818,organism
12,RattusNorvegicus,2,1,14259,28518,27846,organism
13,ArabidopsisThaliana,19,5,23848,400995,349495,organism
14,NeuralCrestDerivedCell,1,1,19613,19613,19613,cell_type
15,,685,169,226443,15335383,12781396,cell_type
16,OlfatoryProjectionNeuron,3,1,11808,35424,31643,cell_type
17,CardiacNonMyocyte,1,1,18861,18861,18861,cell_type
18,BoneMarrowCell,5,1,28811,144055,129563,cell_type
19,CirculatingTumorCell,1,1,21672,21672,21672,cell_type
20,InducedDendriticCell,1,1,18715,18715,18610,cell_type
21,DormantHematopoieticStemCell,1,1,21366,21366,20993,cell_type
22,MarrowDerivedBcell,1,1,17432,17432,13423,cell_type
23,HematopoieticStemCell,5,5,69823,114452,111229,cell_type
24,"[""Fibroblast"", ""EpithelialTumorCell""]",1,1,21725,21725,21725,cell_type
25,NaturalKillerCell,1,1,21683,21683,19043,cell_type
26,CD4+CD25+AlphaBetaRegulatoryTcell,5,1,18425,92125,79757,cell_type
27,GranulocyteMonocyteProgenitorCell,2,2,39021,39021,37843,cell_type
28,IntestinalEpithelialCell,5,2,36546,93414,88743,cell_type
29,ExtraThymicAireExpressingCells,1,1,20128,20128,20128,cell_type
30,LuminalEpithelialCellOfMammaryGland,1,1,23564,23564,22476,cell_type
31,ConventionalDendriticCell,1,1,22367,22367,19590,cell_type
32,Protoplast,5,5,23848,107955,107955,cell_type
33,"[""HematopoieticStemCell"", ""HematopoieticMultipotentProgenitorCell""]",1,1,25582,25582,25054,cell_type
34,Hemocyte,4,4,19330,31574,31574,cell_type
35,EmbryonicCell,1,1,14394,14394,14393,cell_type
36,PlasmaCell,2,1,18636,37272,36318,cell_type
37,RetinalGanglionCell,1,1,18407,18407,18407,cell_type
38,MedullaryThymicEpithelialCells,1,1,22926,22926,22926,cell_type
39,NaiveBcell,1,1,15545,15545,13965,cell_type
40,StemCell,1,1,6809,6809,6809,cell_type
41,MatureTcell,1,1,17432,17432,12564,cell_type
