"HGCN"	"ensembl"
"TSPAN6"	"ENSG00000000003"
"DPM1"	"ENSG00000000419"
"SCYL3"	"ENSG00000000457"
"C1orf112"	"ENSG00000000460"
"FGR"	"ENSG00000000938"
"CFH"	"ENSG00000000971"
"FUCA2"	"ENSG00000001036"
"GCLC"	"ENSG00000001084"
"NFYA"	"ENSG00000001167"
"STPG1"	"ENSG00000001460"
"NIPAL3"	"ENSG00000001461"
"LAS1L"	"ENSG00000001497"
"ENPP4"	"ENSG00000001561"
"CFTR"	"ENSG00000001626"
"ANKIB1"	"ENSG00000001629"
"CYP51A1"	"ENSG00000001630"
"KRIT1"	"ENSG00000001631"
"RAD52"	"ENSG00000002016"
"BAD"	"ENSG00000002330"
"LAP3"	"ENSG00000002549"
"CD99"	"ENSG00000002586"
"HS3ST1"	"ENSG00000002587"
"AOC1"	"ENSG00000002726"
"HECW1"	"ENSG00000002746"
"MAD1L1"	"ENSG00000002822"
"LASP1"	"ENSG00000002834"
"SNX11"	"ENSG00000002919"
"TMEM176A"	"ENSG00000002933"
"M6PR"	"ENSG00000003056"
"KLHL13"	"ENSG00000003096"
"ICA1"	"ENSG00000003147"
"DBNDD1"	"ENSG00000003249"
"ALS2"	"ENSG00000003393"
"CASP10"	"ENSG00000003400"
"CFLAR"	"ENSG00000003402"
"TFPI"	"ENSG00000003436"
"NDUFAF7"	"ENSG00000003509"
"RBM5"	"ENSG00000003756"
"MTMR7"	"ENSG00000003987"
"SLC7A2"	"ENSG00000003989"
"ARF5"	"ENSG00000004059"
"SARM1"	"ENSG00000004139"
"POLDIP2"	"ENSG00000004142"
"PLXND1"	"ENSG00000004399"
"AK2"	"ENSG00000004455"
"CD38"	"ENSG00000004468"
"FKBP4"	"ENSG00000004478"
"KDM1A"	"ENSG00000004487"
"RBM6"	"ENSG00000004534"
"CAMKK1"	"ENSG00000004660"
"RECQL"	"ENSG00000004700"
"VPS50"	"ENSG00000004766"
"ARHGAP33"	"ENSG00000004777"
"NDUFAB1"	"ENSG00000004779"
"PDK4"	"ENSG00000004799"
"SLC22A16"	"ENSG00000004809"
"ABCB5"	"ENSG00000004846"
"ARX"	"ENSG00000004848"
"SLC25A13"	"ENSG00000004864"
"ST7"	"ENSG00000004866"
"CDC27"	"ENSG00000004897"
"SLC4A1"	"ENSG00000004939"
"HCCS"	"ENSG00000004961"
"DVL2"	"ENSG00000004975"
"UPF1"	"ENSG00000005007"
"SKAP2"	"ENSG00000005020"
"SLC25A5"	"ENSG00000005022"
"MCUB"	"ENSG00000005059"
"POLR2J"	"ENSG00000005075"
"DHX33"	"ENSG00000005100"
"THSD7A"	"ENSG00000005108"
"LIG3"	"ENSG00000005156"
"RPAP3"	"ENSG00000005175"
"ACSM3"	"ENSG00000005187"
"REXO5"	"ENSG00000005189"
"CIAPIN1"	"ENSG00000005194"
"SPPL2B"	"ENSG00000005206"
"FAM214B"	"ENSG00000005238"
"PRKAR2B"	"ENSG00000005249"
"MSL3"	"ENSG00000005302"
"CREBBP"	"ENSG00000005339"
"TSPOAP1"	"ENSG00000005379"
"MPO"	"ENSG00000005381"
"PON1"	"ENSG00000005421"
"GCFC2"	"ENSG00000005436"
"WDR54"	"ENSG00000005448"
"CROT"	"ENSG00000005469"
"ABCB4"	"ENSG00000005471"
"KMT2E"	"ENSG00000005483"
"RHBDD2"	"ENSG00000005486"
"IBTK"	"ENSG00000005700"
"ZNF195"	"ENSG00000005801"
"MYCBP2"	"ENSG00000005810"
"FBXL3"	"ENSG00000005812"
"ITGAL"	"ENSG00000005844"
"PDK2"	"ENSG00000005882"
"ITGA3"	"ENSG00000005884"
"ZFX"	"ENSG00000005889"
"LAMP2"	"ENSG00000005893"
"ITGA2B"	"ENSG00000005961"
"ASB4"	"ENSG00000005981"
"GDE1"	"ENSG00000006007"
"REX1BD"	"ENSG00000006015"
"CRLF1"	"ENSG00000006016"
"OSBPL7"	"ENSG00000006025"
"TMEM98"	"ENSG00000006042"
"MAP3K14"	"ENSG00000006062"
"ABCC8"	"ENSG00000006071"
"CACNG3"	"ENSG00000006116"
"TMEM132A"	"ENSG00000006118"
"AP2B1"	"ENSG00000006125"
"ZNF263"	"ENSG00000006194"
"CX3CL1"	"ENSG00000006210"
"SPATA20"	"ENSG00000006282"
"CACNA1G"	"ENSG00000006283"
"TNFRSF12A"	"ENSG00000006327"
"DLX6"	"ENSG00000006377"
"MAP3K9"	"ENSG00000006432"
"RALA"	"ENSG00000006451"
"BAIAP2L1"	"ENSG00000006453"
"KDM7A"	"ENSG00000006459"
"ETV1"	"ENSG00000006468"
